,text
151,"I was now in Holborn, and passed by a public house filled with uproarious companions, whose songs, laughter, and shouts were more sorrowful than the pale looks and silence of the mourner."
152,"I rambled on, oppressed, distracted by painful emotions suddenly I found myself before Drury Lane Theatre."
153,"Excellent friend how sincerely you did love me, and endeavour to elevate my mind until it was on a level with your own."
154,"While in London these and many other dreadful thoughts too harrowing for words were my portion: I lost all this suffering when I was free; when I saw the wild heath around me, and the evening star in the west, then I could weep, gently weep, and be at peace."
155,"""What can I do?"" she cried, ""I am lost we are both for ever lost But come come with me, Lionel; here I must not stay, we can get a chaise at the nearest post house; yet perhaps we have time come, O come with me to save and protect me"" When I heard her piteous demands, while with disordered dress, dishevelled hair, and aghast looks, she wrung her hands the idea shot across me is she also mad? ""Sweet one,"" and I folded her to my heart, ""better repose than wander further; rest my beloved, I will make a fire you are chill."""
156,"My productions however were sufficiently unpretending; they were confined to the biography of favourite historical characters, especially those whom I believed to have been traduced, or about whom clung obscurity and doubt."
157,But I was enchanted by the appearance of the hut; here the snow and rain could not penetrate; the ground was dry; and it presented to me then as exquisite and divine a retreat as Pandemonium appeared to the demons of hell after their sufferings in the lake of fire.
158,"She received these tokens of returning love with gentleness; she did not shun his company; but she endeavoured to place a barrier in the way of familiar intercourse or painful discussion, which mingled pride and shame prevented Raymond from surmounting."
159,"Here were the future governors of England; the men, who, when our ardour was cold, and our projects completed or destroyed for ever, when, our drama acted, we doffed the garb of the hour, and assumed the uniform of age, or of more equalizing death; here were the beings who were to carry on the vast machine of society; here were the lovers, husbands, fathers; here the landlord, the politician, the soldier; some fancied that they were even now ready to appear on the stage, eager to make one among the dramatis personae of active life."
160,"Evadne, once the idol of Adrian's affections; and who, for the sake of her present visitor, had disdained the noble youth, and then, neglected by him she loved, with crushed hopes and a stinging sense of misery, had returned to her native Greece."
161,"But I was bewildered, perplexed, and unable to arrange my ideas sufficiently to understand the full extent of his proposition."
162,"But this thought, which supported me in the commencement of my career, now serves only to plunge me lower in the dust."
163,"Great God If for one instant I had thought what might be the hellish intention of my fiendish adversary, I would rather have banished myself forever from my native country and wandered a friendless outcast over the earth than have consented to this miserable marriage."
164,"In this manner I distributed my occupations when I first arrived, but as I proceeded in my labour, it became every day more horrible and irksome to me."
165,"Such a monster has, then, really existence I cannot doubt it, yet I am lost in surprise and admiration."
166,It is hard for one so young who was once so happy as I was; sic voluntarily to divest themselves of all sensation and to go alone to the dreary grave; I dare not.
167,"In her resentful mood, these expressions had been remembered with acrimony and disdain; they visited her in her softened hour, taking sleep from her eyes, all hope of rest from her uneasy mind."
168,God raises my weakness and gives me courage to endure the worst.
169,"Give me the name of friend; I will fulfill its duties; and if for a moment complaint and sorrow would shape themselves into words let me be near to speak peace to your vext soul."""
170,Her manners were cold and repulsive.
171,"She is very clever and gentle, and extremely pretty; as I mentioned before, her mien and her expression continually remind me of my dear aunt."
172,Soon after we heard that the poor victim had expressed a desire to see my cousin.
173,"We read of centre and wing in Greek and Roman history; we fancy a spot, plain as a table, and soldiers small as chessmen; and drawn forth, so that the most ignorant of the game can discover science and order in the disposition of the forces."
174,"Whisper it not, let the demons hear and rejoice The choice is with us; let us will it, and our habitation becomes a paradise."
175,"I am a farce and play to him, but to me this is all dreary reality: he takes all the profit and I bear all the burthen."
176,"We have already reached a very high latitude; but it is the height of summer, and although not so warm as in England, the southern gales, which blow us speedily towards those shores which I so ardently desire to attain, breathe a degree of renovating warmth which I had not expected."
177,He was nearly killed with kindness.
178,"I listened to his statement, which was delivered without any presumption or affectation, and then added that his lecture had removed my prejudices against modern chemists; I expressed myself in measured terms, with the modesty and deference due from a youth to his instructor, without letting escape inexperience in life would have made me ashamed any of the enthusiasm which stimulated my intended labours."
179,"I have consorted long with grief, entered the gloomy labyrinth of madness, and emerged, but half alive."
180,"My life might have been passed in ease and luxury, but I preferred glory to every enticement that wealth placed in my path."
181,"Some reflection seemed to sting him, and the spasm of pain that for a moment convulsed his countenance, checked my indignation."
182,"The chamber was full but there was no Protector; and there was an austere discontent manifest on the countenances of the leaders, and a whispering and busy tattle among the underlings, not less ominous."
183,"Justine assumed an air of cheerfulness, while she with difficulty repressed her bitter tears."
184,"The landlady met her in the passage; the poor creature asked, ""Is my husband here?"
185,"False was all this false all but the affections of our nature, and the links of sympathy with pleasure or pain."
186,"Oft when I have listened with gasping attention for the sound of the ocean mingled with my father's groans; and then wept untill my strength was gone and I was calm and faint, when I have recollected all this I have asked myself if this were not madness."
187,C Fletcher's comedy of the Captain.
188,"She paused, weeping, and then continued, ""I thought with horror, my sweet lady, that you should believe your Justine, whom your blessed aunt had so highly honoured, and whom you loved, was a creature capable of a crime which none but the devil himself could have perpetrated."
189,I shall do nothing rashly: you know me sufficiently to confide in my prudence and considerateness whenever the safety of others is committed to my care.
190,Often with maternal affection she had figured their merits and talents exerted on life's wide stage.
191,Nothing in human shape could have destroyed the fair child.
192,"I alighted at Perth; and, though much fatigued by a constant exposure to the air for many hours, I would not rest, but merely altering my mode of conveyance, I went by land instead of air, to Dunkeld."
193,"Safie nursed her with the most devoted affection, but the poor girl died, and the Arabian was left alone, unacquainted with the language of the country and utterly ignorant of the customs of the world."
194,"I looked towards its completion with a tremulous and eager hope, which I dared not trust myself to question but which was intermixed with obscure forebodings of evil that made my heart sicken in my bosom."
195,I traversed the streets without any clear conception of where I was or what I was doing.
196,"I was weary with watching and for some time I had combated with the heavy sleep that weighed down my eyelids: but now, no longer fearful, I threw myself on my bed."
197,"I took a circuitous path, principally for the sake of going to the top of the mount before mentioned, which commanded a view of the city."
198,"When once disease was introduced into the rural districts, its effects appeared more horrible, more exigent, and more difficult to cure, than in towns."
199,"""This day was passed in the same routine as that which preceded it."
200,"In this manner many appalling hours passed; several of my dogs died, and I myself was about to sink under the accumulation of distress when I saw your vessel riding at anchor and holding forth to me hopes of succour and life."
201,"No one ventured on board the vessel, and strange sights were averred to be seen at night, walking the deck, and hanging on the masts and shrouds."
202,I must not forget one incident that occurred during this visit to London.
203,We have forgotten what we did when she was not.
204,"I collected bones from charnel houses and disturbed, with profane fingers, the tremendous secrets of the human frame."
205,"This burst of passionate feeling over, with calmed thoughts we sat together, talking of the past and present."
206,"And then, like David, I would try music to win the evil spirit from him; and once while singing I lifted my eyes towards him and saw his fixed on me and filled with tears; all his muscles seemed relaxed to softness."
207,"Parliament was divided by three factions, aristocrats, democrats, and royalists."
208,"But if the sentiment on which the fabric of her existence was founded, became common place through participation, the endless succession of attentions and graceful action snapt by transfer, his universe of love wrested from her, happiness must depart, and then be exchanged for its opposite."
209,"Their minister at Constantinople was urged to make the necessary perquisitions, and should his existence be ascertained, to demand his release."
210,"Idris was too much taken up by her own dreadful fears, to be angry, hardly grieved; for she judged that insensibility must be the source of this continued rancour."
211,Their happiness was not decreased by the absence of summer.
212,"The light curling waves bore us onward, and old ocean smiled at the freight of love and hope committed to his charge; it stroked gently its tempestuous plains, and the path was smoothed for us."
213,The Countess had failed in this design with regard to her children; perhaps she hoped to find the next remove in birth more tractable.
214,"His intellect found sufficient field for exercise in his domestic circle, whose members, all adorned by refinement and literature, were many of them, like himself, distinguished by genius."
215,"He often left us, and wandered by himself in the woods, or sailed in his little skiff, his books his only companions."
216,"Return; dearest one, you promised me this boon, that I should bring you health."
217,"Then again she sadly lamented her hard fate; that a woman, with a woman's heart and sensibility, should be driven by hopeless love and vacant hopes to take up the trade of arms, and suffer beyond the endurance of man privation, labour, and pain the while her dry, hot hand pressed mine, and her brow and lips burned with consuming fire."
218,"She had gone to hide her weakness; escaping from the castle, she had descended to the little park, and sought solitude, that she might there indulge her tears; I found her clinging round an old oak, pressing its rough trunk with her roseate lips, as her tears fell plenteously, and her sobs and broken exclamations could not be suppressed; with surpassing grief I beheld this loved one of my heart thus lost in sorrow I drew her towards me; and, as she felt my kisses on her eyelids, as she felt my arms press her, she revived to the knowledge of what remained to her. ""You are very kind not to reproach me,"" she said: ""I weep, and a bitter pang of intolerable sorrow tears my heart."
219,Perdita looked at him like one amazed; her expressive countenance shone for a moment with tenderness; to see him only was happiness.
220,"""But when I saw you become the object of another's love; when I imagined that you might be loved otherwise than as a sacred type and image of loveliness and excellence; or that you might love another with a more ardent affection than that which you bore to me, then the fiend awoke within me; I dismissed your lover; and from that moment I have known no peace."
221,"Shakspeare, whose popularity was established by the approval of four centuries, had not lost his influence even at this dread period; but was still ""Ut magus,"" the wizard to rule our hearts and govern our imaginations."
222,"In August, the plague had appeared in the country of England, and during September it made its ravages."
223,He became an adventurer in the Greek wars.
224,"""Wherefore do I feel thus?"
225,"""My days were spent in close attention, that I might more speedily master the language; and I may boast that I improved more rapidly than the Arabian, who understood very little and conversed in broken accents, whilst I comprehended and could imitate almost every word that was spoken."
226,"But perfect happiness is an attribute of angels; and those who possess it, appear angelic."
227,I adverted to what Adrian had already done I promised the same vigilance in furthering all his views.
228,"The last beams of the nearly sunken sun shot up from behind the far summit of Mount Athos; the sea of Marmora still glittered beneath its rays, while the Asiatic coast beyond was half hid in a haze of low cloud."
229,"As long as their disunion remained a secret, he cherished an expectation of re awakening past tenderness in her bosom; now that we were all made acquainted with these occurrences, and that Perdita, by declaring her resolves to others, in a manner pledged herself to their accomplishment, he gave up the idea of re union as futile, and sought only, since he was unable to influence her to change, to reconcile himself to the present state of things."
230,This idea pursued me and tormented me at every moment from which I might otherwise have snatched repose and peace.
231,No youthful congregation of gallant hearted boys thronged the portal of the college; sad silence pervaded the busy school room and noisy playground.
232,"""I will soon explain to what these feelings tended, but allow me now to return to the cottagers, whose story excited in me such various feelings of indignation, delight, and wonder, but which all terminated in additional love and reverence for my protectors for so I loved, in an innocent, half painful self deceit, to call them."""
233,"How mutable are our feelings, and how strange is that clinging love we have of life even in the excess of misery I constructed another sail with a part of my dress and eagerly steered my course towards the land."
234,"I was in the service of a farmer; and with crook in hand, my dog at my side, I shepherded a numerous flock on the near uplands."
235,"Her energy of character induced her still to combat with the ills of life; even those attendant on hopeless love presented themselves, rather in the shape of an adversary to be overcome, than of a victor to whom she must submit."
236,The maniac became composed; his person rose higher; authority beamed from his countenance.
237,"Pale as marble, clear and beaming as that, she heard my tale, and enquired concerning the spot where he had been deposited."
238,"When they had retired to rest, if there was any moon or the night was star light, I went into the woods and collected my own food and fuel for the cottage."
239,This was all true; but it was not less agonizing to take the admonition home.
240,"Cast off the only gift that I have bestowed upon you, your grief, and rise from under my blighting influence as no flower so sweet ever did rise from beneath so much evil."
241,"Alas I knew not the desart it was about to reach; the rocks that would tear its waters, and the hideous scene that would be reflected in a more distorted manner in its waves."
242,"My heart beat quick as I approached the palings; my hand was on one of them, a leap would take me to the other side, when two keepers sprang from an ambush upon me: one knocked me down, and proceeded to inflict a severe horse whipping."
243,"My evil passions will have fled, for I shall meet with sympathy My life will flow quietly away, and in my dying moments I shall not curse my maker."""
244,"""Elizabeth Lavenza ""Geneva, May th, "" This letter revived in my memory what I had before forgotten, the threat of the fiend ""I WILL BE WITH YOU ON YOUR WEDDING NIGHT"" Such was my sentence, and on that night would the daemon employ every art to destroy me and tear me from the glimpse of happiness which promised partly to console my sufferings."
245,"He might have spoken, but I did not hear; one hand was stretched out, seemingly to detain me, but I escaped and rushed downstairs."
246,I turned author myself.
247,"Then, in endeavouring to do violence to my own disposition, I made all worse than before."
248,His graceful elocution enchained the senses of his hearers.
249,"Posterity is no more; fame, and ambition, and love, are words void of meaning; even as the cattle that grazes in the field, do thou, O deserted one, lie down at evening tide, unknowing of the past, careless of the future, for from such fond ignorance alone canst thou hope for ease Joy paints with its own colours every act and thought."
250,The theatre was tolerably well filled.
251,"She was nearly fifteen years older than he, and was the offspring of a former marriage of his father."
252,"They stole off at first by ones and twos, then in larger companies, until, unimpeded by the officers, whole battalions sought the road that led to Macedonia."
253,"I am glad that I have loved, and have experienced sympathetic joy and sorrow with my fellow creatures."
254,I went up to her and offered my services.
255,He admitted that the principles that I laid down were the best; but he denied that they were the only ones.
256,"And when time shall have softened your despair, new and dear objects of care will be born to replace those of whom we have been so cruelly deprived."""
257,"One of these fragile mirrors, that ever doted on thine image, is about to be broken, crumbled to dust."
258,Calderon de la Barca.
259,He was detained three days longer and then he hastened to her.
260,"And why should I describe a sorrow which all have felt, and must feel?"
261,But I paused when I reflected on the story that I had to tell.
262,"Ruined castles hanging on the precipices of piny mountains, the impetuous Arve, and cottages every here and there peeping forth from among the trees formed a scene of singular beauty."
263,"I did not weep, but I wiped the perspiration from my brow, and tried to still my brain and heart beating almost to madness."
264,"But now I went to it in cold blood, and my heart often sickened at the work of my hands."
265,"We hired a chaise here, and with four horses drove with speed through the storm."
266,"Thus, we talked of them, and moralized, as with diminished numbers we returned to Windsor Castle."
